"GEO_ID","id"
"NAME","Geographic Area Name"
"CP03_2010_001E","2010 Estimate!!EMPLOYMENT STATUS!!Population 16 years and over"
"CP03_2010_002E","2010 Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force"
"CP03_2010_003E","2010 Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Civilian labor force"
"CP03_2010_004E","2010 Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Civilian labor force!!Employed"
"CP03_2010_005E","2010 Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Civilian labor force!!Unemployed"
"CP03_2010_006E","2010 Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Armed Forces"
"CP03_2010_007E","2010 Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!Not in labor force"
"CP03_2010_008E","2010 Estimate!!EMPLOYMENT STATUS!!Civilian labor force"
"CP03_2010_009E","2010 Estimate!!EMPLOYMENT STATUS!!Civilian labor force!!Percent Unemployed"
"CP03_2010_010E","2010 Estimate!!EMPLOYMENT STATUS!!Females 16 years and over"
"CP03_2010_011E","2010 Estimate!!EMPLOYMENT STATUS!!Females 16 years and over!!In labor force"
"CP03_2010_012E","2010 Estimate!!EMPLOYMENT STATUS!!Females 16 years and over!!In labor force!!Civilian labor force"
"CP03_2010_013E","2010 Estimate!!EMPLOYMENT STATUS!!Females 16 years and over!!In labor force!!Civilian labor force!!Employed"
"CP03_2010_014E","2010 Estimate!!EMPLOYMENT STATUS!!Own children under 6 years"
"CP03_2010_015E","2010 Estimate!!EMPLOYMENT STATUS!!Own children under 6 years!!All parents in family in labor force"
"CP03_2010_016E","2010 Estimate!!EMPLOYMENT STATUS!!Own children 6 to 17 years"
"CP03_2010_017E","2010 Estimate!!EMPLOYMENT STATUS!!Own children 6 to 17 years!!All parents in family in labor force"
"CP03_2010_018E","2010 Estimate!!COMMUTING TO WORK!!Workers 16 years and over"
"CP03_2010_019E","2010 Estimate!!COMMUTING TO WORK!!Workers 16 years and over!!Car, truck, or van -- drove alone"
"CP03_2010_020E","2010 Estimate!!COMMUTING TO WORK!!Workers 16 years and over!!Car, truck, or van -- carpooled"
"CP03_2010_021E","2010 Estimate!!COMMUTING TO WORK!!Workers 16 years and over!!Public transportation (excluding taxicab)"
"CP03_2010_022E","2010 Estimate!!COMMUTING TO WORK!!Workers 16 years and over!!Walked"
"CP03_2010_023E","2010 Estimate!!COMMUTING TO WORK!!Workers 16 years and over!!Other means"
"CP03_2010_024E","2010 Estimate!!COMMUTING TO WORK!!Workers 16 years and over!!Worked at home"
"CP03_2010_025E","2010 Estimate!!COMMUTING TO WORK!!Mean travel time to work (minutes)"
"CP03_2010_026E","2010 Estimate!!OCCUPATION!!Civilian employed population 16 years and over"
"CP03_2010_027E","2010 Estimate!!OCCUPATION!!Civilian employed population 16 years and over!!Management, business, science, and arts occupations"
"CP03_2010_028E","2010 Estimate!!OCCUPATION!!Civilian employed population 16 years and over!!Service occupations"
"CP03_2010_029E","2010 Estimate!!OCCUPATION!!Civilian employed population 16 years and over!!Sales and office occupations"
"CP03_2010_030E","2010 Estimate!!OCCUPATION!!Civilian employed population 16 years and over!!Natural resources, construction, and maintenance occupations"
"CP03_2010_031E","2010 Estimate!!OCCUPATION!!Civilian employed population 16 years and over!!Production, transportation, and material moving occupations"
"CP03_2010_032E","2010 Estimate!!INDUSTRY!!Civilian employed population 16 years and over"
"CP03_2010_033E","2010 Estimate!!INDUSTRY!!Civilian employed population 16 years and over!!Agriculture, forestry, fishing and hunting, and mining"
"CP03_2010_034E","2010 Estimate!!INDUSTRY!!Civilian employed population 16 years and over!!Construction"
"CP03_2010_035E","2010 Estimate!!INDUSTRY!!Civilian employed population 16 years and over!!Manufacturing"
"CP03_2010_036E","2010 Estimate!!INDUSTRY!!Civilian employed population 16 years and over!!Wholesale trade"
"CP03_2010_037E","2010 Estimate!!INDUSTRY!!Civilian employed population 16 years and over!!Retail trade"
"CP03_2010_038E","2010 Estimate!!INDUSTRY!!Civilian employed population 16 years and over!!Transportation and warehousing, and utilities"
"CP03_2010_039E","2010 Estimate!!INDUSTRY!!Civilian employed population 16 years and over!!Information"
"CP03_2010_040E","2010 Estimate!!INDUSTRY!!Civilian employed population 16 years and over!!Finance and insurance, and real estate and rental and leasing"
"CP03_2010_041E","2010 Estimate!!INDUSTRY!!Civilian employed population 16 years and over!!Professional, scientific, and management, and administrative and waste management services"
"CP03_2010_042E","2010 Estimate!!INDUSTRY!!Civilian employed population 16 years and over!!Educational services, and health care and social assistance"
"CP03_2010_043E","2010 Estimate!!INDUSTRY!!Civilian employed population 16 years and over!!Arts, entertainment, and recreation, and accommodation and food services"
"CP03_2010_044E","2010 Estimate!!INDUSTRY!!Civilian employed population 16 years and over!!Other services, except public administration"
"CP03_2010_045E","2010 Estimate!!INDUSTRY!!Civilian employed population 16 years and over!!Public administration"
"CP03_2010_046E","2010 Estimate!!CLASS OF WORKER!!Civilian employed population 16 years and over"
"CP03_2010_047E","2010 Estimate!!CLASS OF WORKER!!Civilian employed population 16 years and over!!Private wage and salary workers"
"CP03_2010_048E","2010 Estimate!!CLASS OF WORKER!!Civilian employed population 16 years and over!!Government workers"
"CP03_2010_049E","2010 Estimate!!CLASS OF WORKER!!Civilian employed population 16 years and over!!Self-employed in own not incorporated business workers"
"CP03_2010_050E","2010 Estimate!!CLASS OF WORKER!!Civilian employed population 16 years and over!!Unpaid family workers"
"CP03_2010_051E","2010 Estimate!!INCOME AND BENEFITS (IN 2014 INFLATION-ADJUSTED DOLLARS)!!Total households"
"CP03_2010_052E","2010 Estimate!!INCOME AND BENEFITS (IN 2014 INFLATION-ADJUSTED DOLLARS)!!Total households!!Less than $10,000"
"CP03_2010_053E","2010 Estimate!!INCOME AND BENEFITS (IN 2014 INFLATION-ADJUSTED DOLLARS)!!Total households!!$10,000 to $14,999"
"CP03_2010_054E","2010 Estimate!!INCOME AND BENEFITS (IN 2014 INFLATION-ADJUSTED DOLLARS)!!Total households!!$15,000 to $24,999"
